review,sentiment
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 0),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 0),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 1),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 1)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 2)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 2)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 3),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 3),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 4),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 4),negative
The performances were stellar. A beautiful story about love and loss. (Instance 5),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 5),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 6),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 6),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 7),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 7),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 8),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 8)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 9),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 9)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 10),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 10),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 11),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 11)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 12)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 12)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 13),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 13),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 14),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 14),negative
The performances were stellar. A beautiful story about love and loss. (Instance 15),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 15),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 16),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 16),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 17),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 17),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 18),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 18)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 19),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 19)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 20),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 20),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 21),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 21)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 22)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 22)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 23),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 23),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 24),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 24),negative
The performances were stellar. A beautiful story about love and loss. (Instance 25),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 25),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 26),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 26),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 27),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 27),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 28),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 28)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 29),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 29)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 30),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 30),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 31),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 31)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 32)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 32)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 33),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 33),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 34),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 34),negative
The performances were stellar. A beautiful story about love and loss. (Instance 35),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 35),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 36),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 36),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 37),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 37),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 38),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 38)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 39),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 39)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 40),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 40),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 41),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 41)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 42)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 42)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 43),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 43),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 44),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 44),negative
The performances were stellar. A beautiful story about love and loss. (Instance 45),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 45),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 46),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 46),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 47),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 47),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 48),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 48)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 49),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 49)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 50),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 50),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 51),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 51)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 52)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 52)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 53),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 53),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 54),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 54),negative
The performances were stellar. A beautiful story about love and loss. (Instance 55),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 55),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 56),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 56),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 57),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 57),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 58),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 58)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 59),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 59)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 60),positive
This was one of the worst movies I have ever seen. Waste of time and money. (Instance 60),negative
I loved this film. It kept me on the edge of my seat the entire time. Highly recommended! (Instance 61),positive
"Terrible acting, boring plot, and awful directing. Avoid this film at all costs. (Instance 61)",negative
"A masterpiece of cinema. The directing, cinematography, and score were all top-notch. (Instance 62)",positive
"I fell asleep halfway through. It was slow, uninspiring, and completely predictable. (Instance 62)",negative
One of the best movies of the year. The characters were well-developed and the story was heartwarming. (Instance 63),positive
A major disappointment. The trailer was much better than the actual movie. (Instance 63),negative
Really enjoyed it. A fun and entertaining watch for the whole family. (Instance 64),positive
Very poorly written. The dialogue felt forced and the characters were annoying. (Instance 64),negative
The performances were stellar. A beautiful story about love and loss. (Instance 65),positive
The special effects were cheap and the acting was wooden. Very disappointing. (Instance 65),negative
I was pleasantly surprised. I went in with low expectations but walked out very happy. (Instance 66),positive
I couldn't stand the main character. The plot made absolutely no sense. (Instance 66),negative
Great movie! The visual effects were amazing and the pacing was just right. (Instance 67),positive
A total mess. The pacing was terrible and it tried to do too many things at once. (Instance 67),negative
A solid 9/10. Highly original script and excellent acting from the lead roles. (Instance 68),positive
"Do not waste your time. It is a cliché-ridden, unoriginal, and dull film. (Instance 68)",negative
I've watched this movie three times now and it never gets old. Truly a classic. (Instance 69),positive
"I wanted to like this, but the ending was completely unsatisfying and ruined it. (Instance 69)",negative
This was an absolutely fantastic movie! The acting was superb and the plot was incredibly engaging. (Instance 70),positive
